            pdb_name            exp_best             sp_best          sp_default             sp_diff                nres
              1VID_A              -1.600              -0.436              -0.434               0.003                 213
              1VLB_A              -3.600              -0.309              -0.241               0.067                 907
              1VNC_A              -2.500              -0.250              -0.245               0.005                 576
              1VQ1_A              -1.000              -0.590              -0.579               0.011                 263
              1W0H_A              -2.100              -0.530              -0.529               0.001                 194
              1XQW_A              -2.800              -0.452              -0.440               0.012                 290
              1Y9M_A              -1.300              -0.561              -0.555               0.006                 517
              1YON_A              -2.000              -0.454              -0.454               0.000                 292
              1YSC_A              -2.600              -0.577              -0.572               0.005                 421
              1ZE1_A              -1.200              -0.435              -0.416               0.019                 308
              1ZIO_A              -2.100              -0.528              -0.527               0.001                 217
              206L_A              -2.200              -0.384              -0.382               0.002                 162
              2A0N_A              13.000               0.608              -0.482               0.125                 251
              2ABK_A              -0.700              -0.493              -0.459               0.034                 211
              2ACY_A              -2.100              -0.296              -0.292               0.003                  98
              2AYH_A              -2.700              -0.394              -0.388               0.006                 214
              2CPO_A              -1.900              -0.117              -0.116               0.001                 298
              2CPU_A              -2.500              -0.512              -0.504               0.008                 495
              2DLN_A              -1.900              -0.650              -0.649               0.001                 306
              2EBN_A               3.300               0.396              -0.337               0.059                 285
              2ENG_A              -2.800              -0.462              -0.449               0.014                 205
              2F61_A              -2.400              -0.474              -0.471               0.003                 497
              2F9R_A              29.900               0.447              -0.237               0.210                 285
              2NLR_A              -2.000              -0.288              -0.288               0.000                 222
              2NMT_A              -2.400              -0.434              -0.428               0.006                 422
              2PEC_A              -2.300              -0.423              -0.421               0.002                 352
              2PIA_A              -2.600              -0.541              -0.534               0.006                 321
              2PTH_A              27.600               0.419              -0.388               0.031                 193
              2SQC_A              -3.100              -0.498              -0.474               0.025                 623
              2THI_A              -3.400              -0.135              -0.106               0.029                 362
              2TPS_A              24.800               0.592              -0.526               0.066                 226
              5EAT_A              -3.400              -0.239              -0.197               0.042                 532
              7ATJ_A              -2.600              -0.553              -0.544               0.010                 305
