"pdb","vvolume","variable","value"
"1A4L_A","vvolumeCA","ddgent",0.735496458272767
"1A4L_A","vvolumeCA","hbe",0.349457818294993
"1A4L_A","vvolumeCA","hpshh",0.38116451524279
"1A4L_A","vvolumeCA","r4s_JC",0.603115444962579
"1A4L_A","vvolumeCA","rsa",0.867835701947687
"1A4L_A","vvolumeCA","seqent",0.463162392204976
"1A4L_A","vvolumeCB","ddgent",0.803208269278901
"1A4L_A","vvolumeCB","hbe",0.282160354014518
"1A4L_A","vvolumeCB","hpshh",0.422185150465642
"1A4L_A","vvolumeCB","r4s_JC",0.667549646819094
"1A4L_A","vvolumeCB","rsa",0.908117331980717
"1A4L_A","vvolumeCB","seqent",0.532194809225253
"1A4L_A","vvolumeN","ddgent",0.619035890508706
"1A4L_A","vvolumeN","hbe",0.393063613262881
"1A4L_A","vvolumeN","hpshh",0.325329897879699
"1A4L_A","vvolumeN","r4s_JC",0.504037726407316
"1A4L_A","vvolumeN","rsa",0.746664905444866
"1A4L_A","vvolumeN","seqent",0.362246211651638
"1A4L_A","vvolumeO","ddgent",0.668566540821478
"1A4L_A","vvolumeO","hbe",0.406509578274908
"1A4L_A","vvolumeO","hpshh",0.370437301384817
"1A4L_A","vvolumeO","r4s_JC",0.545400263576204
"1A4L_A","vvolumeO","rsa",0.793515277261561
"1A4L_A","vvolumeO","seqent",0.420219512342583
"1A4L_A","vvolumeSC","ddgent",0.785654388811804
"1A4L_A","vvolumeSC","hbe",0.219639357876997
"1A4L_A","vvolumeSC","hpshh",0.428360603623239
"1A4L_A","vvolumeSC","r4s_JC",0.700473331181544
"1A4L_A","vvolumeSC","rsa",0.92236186497314
"1A4L_A","vvolumeSC","seqent",0.575307538025323
"1A65_A","vvolumeAA","ddgent",0.720095022514374
"1A65_A","vvolumeAA","hbe",0.370126691731818
"1A65_A","vvolumeAA","hpshh",0.189420844164241
"1A65_A","vvolumeAA","r4s_JC",0.572677684754336
"1A65_A","vvolumeAA","rsa",0.871524808326162
"1A65_A","vvolumeAA","seqent",0.464379649345051
"1A65_A","vvolumeC","ddgent",0.585627985300268
"1A65_A","vvolumeC","hbe",0.491675724719711
"1A65_A","vvolumeC","hpshh",0.145709996519013
"1A65_A","vvolumeC","r4s_JC",0.51026923996919
"1A65_A","vvolumeC","rsa",0.799664523810351
"1A65_A","vvolumeC","seqent",0.397336726051519
"1A65_A","vvolumeCA","ddgent",0.670193298961222
"1A65_A","vvolumeCA","hbe",0.385309489292938
"1A65_A","vvolumeCA","hpshh",0.153681494298803
