"pdb","varea","variable","value"
"1AH7_A","vareaCA","hpshh",0.352322884999429
"1AH7_A","vareaCA","r4s_JC",0.673170210265571
"1AH7_A","vareaCA","rsa",0.868199771840014
"1AH7_A","vareaCA","seqent",0.480468612937526
"1AH7_A","vareaCB","ddgent",0.777342940374871
"1AH7_A","vareaCB","hbe",0.421648397216878
"1AH7_A","vareaCB","hpshh",0.379727765618884
"1AH7_A","vareaCB","r4s_JC",0.658660453624087
"1AH7_A","vareaCB","rsa",0.901414061366738
"1AH7_A","vareaCB","seqent",0.459037168020429
"1AH7_A","vareaN","ddgent",0.652826216452195
"1AH7_A","vareaN","hbe",0.469804694643129
"1AH7_A","vareaN","hpshh",0.324979735370852
"1AH7_A","vareaN","r4s_JC",0.62679390601206
"1AH7_A","vareaN","rsa",0.775723256366123
"1AH7_A","vareaN","seqent",0.455268060341778
"1AH7_A","vareaO","ddgent",0.648303127728501
"1AH7_A","vareaO","hbe",0.483477112805203
"1AH7_A","vareaO","hpshh",0.298108766500318
"1AH7_A","vareaO","r4s_JC",0.609993221059074
"1AH7_A","vareaO","rsa",0.807267156001145
"1AH7_A","vareaO","seqent",0.452030985182392
"1AH7_A","vareaSC","ddgent",0.777369868379179
"1AH7_A","vareaSC","hbe",0.390034093239194
"1AH7_A","vareaSC","hpshh",0.41758848612382
"1AH7_A","vareaSC","r4s_JC",0.660695973008963
"1AH7_A","vareaSC","rsa",0.932730496691256
"1AH7_A","vareaSC","seqent",0.442775088148633
"1AJ0_A","vareaAA","ddgent",0.725342139742256
"1AJ0_A","vareaAA","hbe",0.424698558767192
"1AJ0_A","vareaAA","hpshh",0.42225380322239
"1AJ0_A","vareaAA","r4s_JC",0.520290699072362
"1AJ0_A","vareaAA","rsa",0.925873366476802
"1AJ0_A","vareaAA","seqent",0.481600883882994
"1AJ0_A","vareaC","ddgent",0.669371178845355
"1AJ0_A","vareaC","hbe",0.455189268002258
"1AJ0_A","vareaC","hpshh",0.339315383268575
"1AJ0_A","vareaC","r4s_JC",0.458208653526279
"1AJ0_A","vareaC","rsa",0.847194574932029
"1AJ0_A","vareaC","seqent",0.435149914328058
"1AJ0_A","vareaCA","ddgent",0.680307129129777
"1AJ0_A","vareaCA","hbe",0.458827932657327
"1AJ0_A","vareaCA","hpshh",0.372227152408051
"1AJ0_A","vareaCA","r4s_JC",0.478049654895619
"1AJ0_A","vareaCA","rsa",0.870883965117009
"1AJ0_A","vareaCA","seqent",0.450865435832664
"1AJ0_A","vareaCB","ddgent",0.717613611584605
"1AJ0_A","vareaCB","hbe",0.419147568038349
"1AJ0_A","vareaCB","hpshh",0.399238523779661
"1AJ0_A","vareaCB","r4s_JC",0.519436703963718
"1AJ0_A","vareaCB","rsa",0.903355108869363
"1AJ0_A","vareaCB","seqent",0.482337695318853
"1AJ0_A","vareaN","ddgent",0.582791115430007
