variable,bfSC,ddgent,rsa,varea,vcompactness,vvolume,wcnSC
r.ddgent.vedge,0.017170987,0.089531521,0.087935748,0.119772333,-0.068864031,0.126770598,-0.036834218
mean.nhbon,0.028411785,-0.01893177,-0.034320364,0.002464646,-0.012816161,0.004949667,-0.029651995
sum.ddgent,-0.111483254,-0.148705242,-0.079487618,-0.146136758,0.236403071,-0.156018981,0.135777381
sum.vvolume,-0.108852989,-0.134796782,-0.076181713,-0.146435144,0.236664651,-0.156084705,0.138783585
sum.varea,-0.107526684,-0.132893422,-0.074789684,-0.145872549,0.23590357,-0.1554577,0.137671539
sum.vedge,-0.10272885,-0.12854251,-0.071421999,-0.14341448,0.234005468,-0.15306667,0.135231873
sum.vnfacescc,-0.097944225,-0.123859117,-0.067157229,-0.140208568,0.233400306,-0.150088826,0.134172495
sum.hpshh,-0.106252958,-0.161600242,-0.086207214,-0.155652242,0.249889584,-0.163937378,0.147201483
sum.vnfaces,-0.099222586,-0.125243959,-0.068373799,-0.141009787,0.23193277,-0.150712594,0.132926415
r.vedge.wcnSC,-0.123707871,-0.098342447,-0.044230769,-0.130139597,0.197285609,-0.14505626,0.12924444
nres,-0.099888794,-0.124673513,-0.068038031,-0.140465803,0.231404231,-0.150195662,0.132430979
natoms,-0.098938659,-0.130735841,-0.068115504,-0.141269396,0.23287985,-0.150732311,0.133121615
sum.vsphericitym,-0.088122404,-0.120284978,-0.062379726,-0.136095483,0.230476103,-0.146360219,0.129590147
sum.vsphericitycc,-0.096638887,-0.12288501,-0.064911404,-0.137541406,0.230288133,-0.14780877,0.13054577
sum.SSS,-0.07299327,-0.03670734,0.000928942,-0.080908013,0.17158668,-0.090179024,0.103915267
sum.vsphericity,-0.099123245,-0.122912614,-0.066235081,-0.137895,0.229229981,-0.147802198,0.130416951
sum.nhbon,-0.094100048,-0.116511676,-0.064685403,-0.131142757,0.220431065,-0.139905237,0.122284318
r.hpshh.vvolume,-0.04779694,-0.134303854,-0.061301856,0.052994374,-0.09628135,0.057204637,-0.089457911
r.hpshh.varea,-0.032530627,-0.130104106,-0.058743888,0.050721647,-0.090845996,0.054715022,-0.091366528
mean.hpshh,0.030706803,-0.139429038,-0.016655061,-0.032491204,0.046847904,-0.029609216,0.044023754
median.r4sJC,0.107002208,0.026323676,0.008102424,-0.038794101,0.013804616,-0.046621799,0.086726431
r.veccentricity.wcnSC,-0.086631789,-0.10480835,-0.04430438,-0.098823545,0.17542589,-0.109537831,0.101923077
r.hpshh.vnfaces,-0.057070561,-0.050805773,0.05028787,0.058716284,-0.038249908,0.05375677,-0.003232294
sum.hbdif,-0.091882736,-0.130920872,-0.076267482,-0.13064022,0.211279816,-0.139137316,0.107674794
sd.hpshh,0.002469899,-0.215151953,-0.054816236,0.028621379,0.018055629,0.03890846,-0.085381724
sum.wcnSC,-0.083073505,-0.094668489,-0.048266207,-0.126440665,0.21979205,-0.136475367,0.121584994
mean.vsphericitym,-0.064233135,-0.097117356,-0.038369525,-0.110836532,0.214281771,-0.121190651,0.108211525
median.hpshh,0.061669845,-0.04687091,-0.009393837,-0.001762045,0.069192156,0.004968897,0.027208248
r.hbe.hpshh,-0.02019165,0.053957884,-0.003888217,0.060187181,-0.048071665,0.053031179,-0.045589936
r.ddgent.vsphericitym,-0.032257216,-0.078591146,-0.083122141,-0.107267732,0.142703349,-0.106983806,0.081318681
r.hpshh.vedge,-0.037664967,-0.120776592,-0.039856196,0.07399837,-0.113527262,0.079251012,-0.105947999
sd.ddgent,0.125243178,0.309745518,0.112026132,0.035235817,0.013539092,0.036245334,0.032931542
r.rsa.wcnSC,-0.132489879,-0.169550187,-0.088983385,-0.069420054,0.139267312,-0.076963826,0.038545665
mean.hbe,-0.017763815,0.036011357,0.113777012,0.070900152,-0.045072033,0.071511383,-0.031573689
r.ddgent.wcnSC,-0.048659236,-0.133365319,-0.056243756,-0.061230874,0.094659288,-0.065367527,0.040222935
r.bfSC.ddgent,0.35950234,0.135751091,0.072231716,0.019425312,0.008459961,0.017825595,0.028923708
r.ddgent.rsa,-0.055156685,-0.021767706,0.072994111,0.080336768,-0.016288974,0.079423208,-0.040930123
r.vsphericity.vsphericitym,-0.071077607,-0.102739366,-0.043555129,-0.10767522,0.208621642,-0.119192649,0.100976655
r.hpshh.veccentricity,0.006339713,-0.104971344,-0.038360324,0.06216941,-0.093218623,0.06808849,-0.104726852
median.hbe,0.003355815,0.065693098,0.142755267,0.091240635,-0.054723766,0.088649277,-0.044966862
mean.seqent,-0.0751998,-0.137538777,-0.119878805,-0.255831011,0.19188706,-0.27543772,0.241448026
median.wcnSC,-0.054387718,-0.039351438,-0.017014564,-0.103179715,0.201392029,-0.113269625,0.105711394
contact_orderSC,0.106690056,0.132603624,0.119658013,0.141595293,-0.163928888,0.151492636,-0.121773661
sum.r4sJC,-0.051761396,-0.075850465,-0.024208686,-0.094989221,0.178179715,-0.106088648,0.100498186
nchain,-0.014574986,-0.011719357,0.052032243,0.100232155,-0.070000151,0.111079077,-0.119597023
sum.TSS,-0.036916923,-0.039384668,-0.001280546,-0.089950446,0.179276396,-0.100645764,0.103043829
mean.wcnSC,-0.046205111,-0.028836953,-0.010899627,-0.096705926,0.196251117,-0.106250329,0.099089069
sum.seqent,-0.095762133,-0.125223461,-0.063640307,-0.180098849,0.236789526,-0.196123613,0.18009622
sum.GSS,0.082852668,0.08130143,0.073892083,0.003166315,0.073690692,-0.005683044,0.039061305
median.seqent,-0.065212419,-0.134210526,-0.104490247,-0.240325464,0.175265524,-0.260563121,0.225838635
r.hpshh.rsa,0.002373942,-0.096847889,-0.02166912,0.095613597,-0.115161155,0.100966139,-0.144195278
r.vsphericity.vvolume,0.084925601,0.216107577,0.135854935,0.083528314,-0.074483411,0.083282507,0.001188285
r.ddgent.hpshh,0.034439245,-0.100307587,0.010095168,0.104097219,-0.093193648,0.107409696,-0.154469215
r.varea.vsphericity,0.113224933,0.236086282,0.151388086,0.128760713,-0.142843998,0.1328369,-0.053278301
r.bfSC.rsa,0.428631894,0.191809506,0.144370104,0.080736369,-0.069009937,0.077648667,-0.030092276
r.vnfaces.vsphericity,0.014552553,0.156643357,0.070499238,0.066181187,-0.100060466,0.0721213,-0.07575188
r.bfSC.vedge,0.462942321,0.149520217,0.108502024,0.086268994,-0.070045744,0.085108313,-0.050977969
r.vsphericitym.vvolume,-0.036584468,-0.018456543,0.011063936,-0.083642673,0.185856249,-0.097453862,0.082964404
r.bfSC.varea,0.454913508,0.134508912,0.091847626,0.062195699,-0.038986014,0.058783322,-0.030416951
mean.r4sJC,0.165639624,0.109348546,0.108352174,0.139055681,-0.158446816,0.13726931,-0.10181529
mean.GSS,0.196308047,0.226362514,0.167685089,0.146867078,-0.118870488,0.141120008,-0.106012537
r.vedge.vsphericity,0.039071455,0.165404333,0.10623324,0.045491351,-0.007362374,0.033806982,0.0237105
r.bfSC.vvolume,0.465422735,0.137496714,0.096590252,0.070177191,-0.046713813,0.068676061,-0.038440507
r.bfSC.veccentricity,0.466977759,0.152939166,0.117286661,0.07642752,-0.061704085,0.073400284,-0.049491298
sd.wcnSC,-0.026088385,-0.018192334,0.012864767,-0.052635522,0.169718439,-0.060890425,0.047598454
r.veccentricity.vsphericity,0.047915243,0.107601609,0.092711236,0.090224249,-0.084945318,0.087264052,-0.035049161
sum.nhbps,0.046836274,0.066338231,0.096814439,0.08129642,-0.016956736,0.084520542,-0.138494486
r.hbe.vsphericity,0.021252432,0.068704979,0.116048425,0.126992744,-0.123347705,0.132354488,-0.140527893
r.varea.vsphericitym,-0.023918187,-0.000644093,0.023493612,-0.069686892,0.176338136,-0.082063989,0.069343814
r.vedge.vsphericitym,-0.030331511,-0.018921868,0.019183448,-0.06089174,0.159583837,-0.076602345,0.058132657
mean.nhbps,0.09193942,0.11506928,0.119823226,0.144866764,-0.106866768,0.153870259,-0.204090176
r.veccentricity.vsphericitym,-0.038235449,-0.047230401,0.005515537,-0.062111573,0.162078711,-0.075440349,0.050828119
