variable,mean,median,sd,min,q1,q3,max
r.bfCB.VAAedge_length_total,0.510356479,0.518995484,0.098120194,0.178902042,0.463358625,0.573366839,0.724646067
r.bfCB.VAAfree_volume,0.54075699,0.549638128,0.101571839,0.197301587,0.487311889,0.610193998,0.777150948
r.bfCB.VAAmodified_volume,0.538591179,0.553057961,0.103482517,0.193857815,0.494149299,0.608587946,0.77797291
r.bfCB.VAAnfaces,-0.074575597,-0.071454142,0.06604382,-0.303704126,-0.115059667,-0.033187234,0.138187883
r.bfCB.VAAvolume,0.538928858,0.547577676,0.103025937,0.195129042,0.494543117,0.6093046,0.778660017
r.bfCB.VCAarea,0.545940207,0.558917648,0.104986762,0.195662657,0.496224103,0.614264312,0.792749066
r.bfCB.VCAeccentricity,0.50199743,0.519248256,0.099243372,0.189594452,0.44635386,0.564136429,0.711599336
r.bfCB.VCAedge_length_total,0.507395232,0.514786595,0.098236506,0.189825155,0.462148833,0.572171064,0.750799372
r.bfCB.VCAfree_volume,0.524348123,0.536455726,0.10055312,0.190679495,0.475519186,0.587418239,0.737930026
r.bfCB.VCAmodified_volume,0.532071325,0.545336196,0.103731748,0.185455223,0.482339947,0.597540135,0.774493929
r.bfCB.VCAnfaces,-0.117669863,-0.115395768,0.06387921,-0.30169355,-0.15497177,-0.078694579,0.081463626
r.bfCB.VCAvolume,0.532679318,0.544218538,0.103356752,0.18598362,0.482043389,0.598868277,0.773407438
r.bfCB.VSCarea,0.552617745,0.566512213,0.104806084,0.210028333,0.496374234,0.620002763,0.794259279
r.bfCB.VSCeccentricity,0.519213395,0.532488958,0.101370967,0.188126895,0.472450469,0.583192143,0.732097562
r.bfCB.VSCedge_length_total,0.498890005,0.513115036,0.095985225,0.176294359,0.451193924,0.562947911,0.713696215
r.bfCB.VSCfree_volume,0.535478238,0.544115938,0.100384553,0.194342324,0.489388627,0.604167127,0.760577134
r.bfCB.VSCmodified_volume,0.542752544,0.555512574,0.104002931,0.195826915,0.486360476,0.611397138,0.778846907
r.bfCB.VSCnfaces,-0.079416452,-0.080833087,0.058179098,-0.259557436,-0.113724137,-0.043506875,0.068602225
r.bfCB.VSCvolume,0.543083862,0.55432112,0.103738832,0.197823412,0.487076529,0.612273586,0.778322983
r.bfCB.wcnAA,-0.657681054,-0.680934267,0.127552194,-0.879711596,-0.745873423,-0.599571704,-0.220543504
r.bfCB.wcnC,-0.641982761,-0.661000946,0.126307799,-0.883720793,-0.732172577,-0.576256271,-0.195956541
r.bfCB.wcnCA,-0.655533464,-0.67335036,0.129131113,-0.889951281,-0.745416766,-0.593222732,-0.190083811
r.bfCB.wcnCB,-0.648237217,-0.668196466,0.127583567,-0.885849787,-0.73560519,-0.582768438,-0.220558017
r.bfCB.wcnN,-0.624681735,-0.651313464,0.132020689,-0.885831176,-0.717141102,-0.560498232,-0.188874963
r.bfCB.wcnO,-0.613760939,-0.644352531,0.121933918,-0.860717424,-0.699462853,-0.54705838,-0.230518403
r.bfCB.wcnSC,-0.638809044,-0.657060639,0.124302731,-0.866909055,-0.722516166,-0.577544297,-0.229676662
r.bfN.bfO,0.844367711,0.883562619,0.138853915,0.043675399,0.798207293,0.93402826,1
r.bfN.bfSC,0.794089755,0.821884373,0.12609626,0.157792424,0.750441704,0.871921746,0.984708992
r.bfN.ddgent,0.367661468,0.374544685,0.084394854,0.067131729,0.317905175,0.421944431,0.600586035
r.bfN.hbe_mean,0.311398346,0.313584019,0.109066092,0.052667946,0.236983926,0.382542891,0.649859
r.bfN.hpshh,0.177373112,0.175164977,0.068525749,-0.048387176,0.137780744,0.217268124,0.359396196
r.bfN.hpskd,-0.157546484,-0.153344243,0.07484404,-0.340605381,-0.204255873,-0.110335906,0.077917814
r.bfN.hpsww,-0.162499076,-0.167103697,0.065720147,-0.328732089,-0.203991664,-0.123127278,0.053606864
r.bfN.resvol,-0.057466865,-0.054330178,0.084150714,-0.280198401,-0.113045965,-0.005270486,0.181239544
r.bfN.rsa,0.478702249,0.493645128,0.099430218,0.101447099,0.419381813,0.544980698,0.726299207
r.bfN.seqent,0.274191037,0.287108745,0.132706647,-0.101605378,0.196092179,0.372739251,0.573184615
r.bfN.sizeAA,-0.008895268,-0.002610008,0.091420841,-0.262046886,-0.070450127,0.048063529,0.272683695
