pdb,r.wcnCA.r4sJC,r.wcnSC.r4sJC,r.rsa.r4sJC,r.vareaSC.r4sJC,r.ddgent.r4sJC,r.vareaCA.r4sJC,r.bfSC.r4sJC,r.hbe.r4sJC,r.distance.r4sJC,r.bfSC.distance,r.bfSC.wcnSC,r.distance.wcnSC,r.distance.vareaSC,r.wcnSC.vareaSC
1GP5_A,-0.555645632,-0.645209252,0.602523619,0.647851141,0.581968914,0.573142677,0.56319379,-0.214646244,0.528661273,0.695053711,-0.766379243,-0.914416723,0.733155382,-0.907691171
1GQ8_A,-0.490437922,-0.578674665,0.598711637,0.590861664,0.622953316,0.561010748,0.494172708,-0.280601811,0.450035307,0.545508061,-0.733084026,-0.901013776,0.662167506,-0.882040161
1H19_A,-0.719737316,-0.789551393,0.660221916,0.686883767,0.640963955,0.630124348,0.603584894,-0.046671285,0.750926445,0.545342221,-0.678025535,-0.903677304,0.627430656,-0.844876487
1H3I_A,-0.216206894,-0.302599146,0.363902531,0.374109397,0.415016254,0.29498613,0.258771681,-0.118380706,0.086145863,0.319587218,-0.555258936,-0.806802087,0.591042454,-0.901820469
1HKA_A,-0.448342918,-0.515492933,0.464915679,0.579683223,0.419403038,0.563040282,0.156270479,-0.104515541,0.558720147,0.610803229,-0.675331136,-0.936406134,0.832021772,-0.929621409
1HPM_A,-0.546527399,-0.565673922,0.31804491,0.423423224,0.352227373,0.393593854,0.455168788,-0.037804048,0.595417922,0.746040991,-0.794189936,-0.914055607,0.710782166,-0.90298156
1HQC_A,-0.288176321,-0.378249265,0.26053336,0.335753675,0.241290027,0.304428879,0.216873978,0.102756031,0.363446914,0.296776207,-0.532902151,-0.760049486,0.466666802,-0.883371562
1I1E_A,-0.351972258,-0.382198082,0.491444218,0.467053913,0.496379549,0.43452593,0.355730736,-0.224595512,0.224929485,0.179316034,-0.614885504,-0.709318694,0.324116674,-0.785459263
1I1I_P,-0.530059493,-0.590871781,0.517082659,0.540376869,0.504466717,0.497940681,0.364095989,-0.101075577,0.579341225,0.542657094,-0.658230993,-0.884711183,0.578969982,-0.827218033
1I9A_A,-0.549366603,-0.650281389,0.602121688,0.61451958,0.444518589,0.520846501,0.361008309,-0.269553328,0.629356795,0.291065831,-0.363504254,-0.936592029,0.835510524,-0.952115987
1IDJ_A,-0.564846424,-0.610273704,0.605449955,0.600838461,0.629489606,0.584208643,0.393273195,-0.302260383,0.49062129,0.64266437,-0.749263048,-0.898262411,0.617625637,-0.864009331
1IG8_A,-0.657899931,-0.734187748,0.595483111,0.659478482,0.544242212,0.614011323,0.419362133,-0.160788228,0.671904755,0.461091026,-0.640501989,-0.842585186,0.598049296,-0.885876672
1IM5_A,-0.527227237,-0.6697156,0.595473321,0.64817778,0.599691271,0.558054137,0.475764579,-0.036845623,0.607502409,0.614608431,-0.69384465,-0.955262777,0.858413815,-0.950940514
1INP_A,-0.626436759,-0.635396194,0.552397153,0.551643362,0.540179148,0.553293121,0.592042364,-0.334027513,0.61725444,0.747929998,-0.770910448,-0.928745892,0.75384497,-0.915014719
